"시도별","시점","합계:면적[ha]","생산량[톤]","사과:면적[ha]","10a당 생산량[kg]","생산량[톤]","배:면적[ha]","10a당 생산량[kg]","생산량[톤]","복숭아:면적[ha]","10a당 생산량[kg]","생산량[톤]","포도:면적[ha]","10a당 생산량[kg]","생산량[톤]","감귤:면적[ha]","10a당 생산량[kg]","생산량[톤]","감:면적[ha]","10a당 생산량[kg]","생산량[톤]","단감:면적[ha]","10a당 생산량[kg]","생산량[톤]","떫은감:면적[ha]","10a당 생산량[kg]","생산량[톤]","자두:면적[ha]","10a당 생산량[kg]","생산량[톤]","매실:면적[ha]","10a당 생산량[kg]","생산량[톤]","기타:면적[ha]","10a당 생산량[kg]","생산량[톤]",
"제주도","2011 년","22508","660988","0","0","0","7","2118","148","1","2300","23","0","0","0","21363","3017","644430","92","684.78261","630","89","675","601","3","967","29","0","0","0","","","","1045","1508","15757",
"제주도","2012 년","22522","676054","0","0","0","8","662","53","1","0","0","0","0","0","21324","3066","653756","84","585.71429","492","84","586","492","0","0","0","0","0","0","","","","1105","1969","21753",
"제주도","2013 년","22594","677041","0","0","0","7","2517","176","1","0","0","0","0","0","21308","3074","655001","89","550.5618","490","89","551","490","0","0","0","0","0","0","","","","1189","1798","21374",
"제주도","2014 년","22425","707893","0","0","0","13","2821","367","0","0","0","0","0","0","21312","3225","687324","98","398.97959","391","98","399","391","0","0","0","0","0","0","","","","1002","1977","19811",
"제주도","2015 년","22342","659143","0","0","0","8","2538","203","1","0","0","0","0","0","21241","3012","639673","71","743.66197","528","71","744","528","0","0","0","0","0","0","","","","1021","1835","18739",
"제주도","2016 년","22644","627760","0","0","0","0","0","0","2","1650","33","5","2060","103","21672","2814","609783","89","533.70787","475","89","534","475","0","0","0","0","0","0","","","","876","1982","17366",
"제주도","2017 년","22540.4655","615297",".0345","2098","1",".0339","0","0","1.7815","1347","24","5.3698","1713","92","21486.2508","2772","595660","95.2816","790.289","753","95.2816","790","753","0","0","0","0","0","0","","","","951.7134","1972","18767",
"제주도","2018 년","22421.6986","635860",".0783","750","1",".4214","2247","9","2.1497","977","21","5.8882","1359","80","21457.6646","2888","619761","144.2089","457.66939","660","144.2089","458","660","0","0","0","0","0","0","","","","811.2875","1889","15328",
"제주도","2019 년","22031.4816","643669",".3324","60","0",".55","2071","11","23.3761","17","4","5.8915","1035","61","21100.8845","2981","628937","136.978","272.3065","373","136.978","272","373","0","0","0","0","0","0","140.9713","505","712","622.4978","2180","13571",
"제주도","2020 년","22075.4178","674042.2786",".5221","0","0",".4997","1197","6","18.8167","16.332725717","3.07328",".6213","679.7808242185","4.2234782609","20990.5175","3134.93132925","658038.3092792041","135.7812","232.0414865761","315.0687149709","135.2796","230.5049978719","311.8262391011",".5016","646.4266087982","3.2424758697","0","0","0","142.9701","531.9869561619","760.5822832117","785.6892","1898.336083921","14915.0215910699",
"제주도","2021 년","22744.6832","650029",".0163","0","0","0","0","0",".2551","427","1","10.7641","522","56","21877.4073","2900","634487","26.9356","460.3573","124","26.8572","462","124",".0784","558","0","5.8981","143","8","57.4145","547","314","765.9922","1963","15039",
