,연도,월,평균열대야일수
265,1988,6월,0.0
266,1989,6월,0.0
267,1990,6월,0.2
268,1991,6월,0.0
269,1992,6월,0.0
270,1993,6월,0.0
271,1994,6월,0.3
272,1995,6월,0.0
273,1996,6월,0.0
274,1997,6월,0.0
275,1998,6월,0.0
276,1999,6월,0.0
277,2000,6월,0.0
278,2001,6월,0.0
279,2002,6월,0.0
280,2003,6월,0.0
281,2004,6월,0.0
282,2005,6월,0.2
283,2006,6월,0.0
284,2007,6월,0.0
285,2008,6월,0.0
286,2009,6월,0.0
287,2010,6월,0.0
288,2011,6월,0.0
289,2012,6월,0.0
290,2013,6월,0.0
291,2014,6월,0.0
292,2015,6월,0.0
293,2016,6월,0.0
294,2017,6월,0.0
295,2018,6월,0.0
296,2019,6월,0.0
297,2020,6월,0.0
298,2021,6월,0.0
299,2022,6월,1.3
300,1973,7월,2.7
301,1974,7월,0.0
302,1975,7월,2.7
303,1976,7월,0.0
304,1977,7월,0.8
305,1978,7월,3.8
306,1979,7월,1.2
307,1980,7월,0.7
308,1981,7월,1.7
309,1982,7월,0.0
310,1983,7월,2.5
311,1984,7월,1.3
312,1985,7월,0.3
313,1986,7월,0.3
314,1987,7월,0.8
315,1988,7월,2.7
316,1989,7월,0.5
317,1990,7월,2.2
318,1991,7월,3.8
319,1992,7월,3.5
320,1993,7월,0.0
321,1994,7월,11.5
322,1995,7월,3.3
323,1996,7월,2.8
324,1997,7월,2.8
325,1998,7월,1.8
326,1999,7월,1.3
327,2000,7월,2.5
328,2001,7월,5.0
329,2002,7월,2.2
330,2003,7월,0.0
331,2004,7월,1.8
332,2005,7월,0.5
333,2006,7월,1.2
334,2007,7월,0.2
335,2008,7월,0.7
336,2009,7월,0.5
337,2010,7월,2.5
338,2011,7월,2.8
339,2012,7월,2.3
340,2013,7월,6.5
341,2014,7월,1.2
342,2015,7월,1.2
343,2016,7월,3.7
344,2017,7월,5.3
345,2018,7월,7.2
346,2019,7월,4.7
347,2020,7월,0.0
348,2021,7월,2.7
349,2022,7월,3.2
350,1973,8월,1.0
351,1974,8월,1.0
352,1975,8월,1.5
353,1976,8월,3.2
354,1977,8월,0.8
355,1978,8월,2.0
356,1979,8월,1.8
357,1980,8월,0.0
358,1981,8월,0.8
359,1982,8월,1.3
360,1983,8월,1.7
361,1984,8월,0.7
362,1985,8월,0.5
363,1986,8월,0.3
364,1987,8월,0.8
365,1988,8월,0.3
366,1989,8월,0.5
367,1990,8월,1.3
368,1991,8월,0.0
369,1992,8월,0.2
370,1993,8월,0.0
371,1994,8월,7.7
372,1995,8월,5.5
373,1996,8월,3.2
374,1997,8월,4.2
375,1998,8월,3.2
376,1999,8월,0.7
377,2000,8월,1.3
378,2001,8월,2.3
379,2002,8월,1.7
380,2003,8월,1.5
381,2004,8월,1.0
382,2005,8월,2.8
383,2006,8월,1.0
384,2007,8월,3.3
385,2008,8월,1.7
386,2009,8월,1.2
387,2010,8월,7.8
388,2011,8월,2.2
389,2012,8월,6.5
390,2013,8월,8.5
391,2014,8월,1.0
392,2015,8월,1.8
393,2016,8월,4.5
394,2017,8월,3.5
395,2018,8월,10.0
396,2019,8월,5.0
397,2020,8월,8.0
398,2021,8월,0.7
399,2022,8월,8.0
400,1973,9월,0.0
